frame,time_ms,nose_x,nose_y,nose_conf,l_shoulder_x,l_shoulder_y,l_shoulder_conf,r_shoulder_x,r_shoulder_y,r_shoulder_conf,l_elbow_x,l_elbow_y,l_elbow_conf,r_elbow_x,r_elbow_y,r_elbow_conf,l_wrist_x,l_wrist_y,l_wrist_conf,r_wrist_x,r_wrist_y,r_wrist_conf,l_hip_x,l_hip_y,l_hip_conf,r_hip_x,r_hip_y,r_hip_conf,l_knee_x,l_knee_y,l_knee_conf,r_knee_x,r_knee_y,r_knee_conf,l_ankle_x,l_ankle_y,l_ankle_conf,r_ankle_x,r_ankle_y,r_ankle_conf,l_heel_x,l_heel_y,l_heel_conf,r_heel_x,r_heel_y,r_heel_conf,l_foot_index_x,l_foot_index_y,l_foot_index_conf,r_foot_index_x,r_foot_index_y,r_foot_index_conf,view_type,c7_x,c7_y,has_barbell,com_x,com_y,mid_foot_x
34,1133,703.08,341.32,1.0,547.91,488.15,1.0,855.54,465.47,1.0,439.57,723.58,0.964,932.65,701.94,0.99,501.74,914.86,0.312,935.33,927.46,0.622,597.82,967.52,1.0,771.17,967.44,0.999,547.35,1282.3,0.978,819.88,1320.08,0.979,514.15,1651.62,0.963,836.54,1672.59,0.953,515.84,1711.61,0.964,825.72,1750.52,0.958,501.37,1652.51,0.75,871.69,1686.55,0.717,posterior,701.7287311906666,476.8131757317109,False,689.7694001607287,879.1692266415957,678.6532999887394
35,1166,707.62,377.12,0.999,547.26,526.25,1.0,860.18,510.32,1.0,438.52,762.78,0.965,942.44,746.47,0.973,517.19,913.53,0.218,926.85,945.59,0.264,599.62,993.57,0.999,774.08,992.38,0.999,541.25,1286.16,0.978,830.01,1321.99,0.972,513.78,1651.4,0.952,836.35,1672.13,0.937,515.71,1711.61,0.948,825.38,1749.68,0.937,497.74,1651.29,0.714,871.51,1685.0,0.658,posterior,703.7175057392856,518.2824380958659,False,691.9202141755402,905.9908328181741,677.5862351715278
36,1200,710.68,412.28,0.999,545.64,562.16,1.0,861.66,558.26,1.0,437.74,793.93,0.977,951.09,788.02,0.966,525.5,916.76,0.207,909.37,957.53,0.218,599.71,1014.45,0.999,775.63,1014.9,0.999,536.67,1291.34,0.986,837.45,1321.75,0.975,513.39,1650.89,0.955,836.08,1671.76,0.949,515.79,1711.52,0.946,824.95,1748.9,0.943,494.79,1650.11,0.687,870.89,1683.06,0.667,posterior,703.6502865106786,560.2093734998641,False,692.6678046505001,931.1139037078731,676.6031111621704
37,1233,710.5,447.22,1.0,545.32,602.66,1.0,862.96,597.71,1.0,439.39,831.87,0.972,953.53,824.9,0.945,536.55,923.46,0.178,889.48,958.39,0.134,599.78,1040.25,0.999,777.57,1044.48,0.999,534.14,1300.17,0.987,842.97,1334.29,0.975,513.15,1650.44,0.951,835.86,1671.81,0.947,515.87,1711.52,0.941,824.64,1748.9,0.937,491.03,1648.41,0.656,870.2,1680.29,0.62,posterior,704.137966446172,600.1845626859067,False,693.5684695871475,959.2189534438137,675.4340203033861
38,1266,710.55,480.24,0.999,546.94,637.01,1.0,865.07,637.58,1.0,442.5,865.16,0.932,953.63,867.43,0.948,541.8,921.5,0.077,873.82,958.76,0.139,600.72,1063.02,0.999,781.5,1071.77,0.999,534.34,1307.78,0.972,845.4,1343.34,0.95,513.15,1650.35,0.91,835.86,1671.47,0.913,515.91,1711.58,0.9,824.64,1748.35,0.887,487.32,1647.0,0.581,868.6,1677.1,0.552,posterior,706.0086111447491,637.2966380127698,False,695.4342003598249,985.0074290682786,674.1164104435263
39,1300,711.26,514.85,0.999,547.99,666.19,0.999,866.26,674.59,0.999,449.12,902.14,0.862,949.07,912.94,0.852,544.17,921.05,0.057,851.22,959.32,0.071,601.4,1084.59,0.999,783.73,1095.65,0.999,537.03,1319.14,0.948,841.96,1352.27,0.913,513.28,1650.47,0.882,835.73,1671.21,0.861,516.04,1711.68,0.885,824.64,1747.47,0.825,484.3,1646.57,0.587,864.47,1677.1,0.501,posterior,707.1253762831068,670.3944363644848,False,696.3660424879587,1009.0835168964365,672.3613734065975
40,1333,711.38,547.05,0.998,550.6,693.52,0.999,866.46,706.83,0.998,464.91,932.77,0.705,945.16,946.63,0.632,560.67,921.97,0.023,833.15,949.2,0.027,601.64,1100.96,0.998,785.14,1111.07,0.998,538.39,1320.8,0.926,840.26,1352.18,0.863,513.28,1650.21,0.841,835.59,1670.56,0.829,516.14,1711.47,0.85,824.42,1745.12,0.755,482.29,1645.98,0.54,863.0,1674.93,0.474,posterior,708.5260942603609,700.1727332753744,False,697.5049557766546,1027.3565994696025,607.6183977597703
41,1366,712.17,584.63,0.998,552.5,725.23,0.999,865.36,742.22,0.998,472.74,970.71,0.853,940.71,984.69,0.69,554.51,914.8,0.051,831.82,941.16,0.054,600.36,1120.49,0.999,785.98,1133.5,0.999,537.56,1324.51,0.942,837.52,1350.39,0.855,513.39,1650.29,0.862,835.18,1670.24,0.846,516.58,1711.47,0.866,824.04,1744.12,0.765,480.52,1645.79,0.622,860.05,1673.43,0.557,posterior,708.9327751841668,733.7252160205815,False,697.3746206375697,1049.248664546746,670.2985387516657
42,1400,712.54,613.3,0.997,553.44,758.35,0.998,863.21,773.13,0.998,481.07,990.84,0.818,931.84,1012.36,0.592,553.62,906.2,0.057,831.55,942.6,0.05,599.12,1141.78,0.999,785.89,1155.56,0.999,536.77,1331.62,0.931,836.93,1356.75,0.825,513.39,1650.24,0.786,834.8,1669.72,0.808,516.82,1711.23,0.798,823.08,1743.33,0.763,478.25,1644.95,0.447,859.18,1671.94,0.438,posterior,708.3266534030656,765.7405201283334,False,696.7809125240019,1070.8757799065113,669.9493426300236
43,1433,712.01,638.12,0.998,554.58,784.2,0.999,860.75,796.01,0.999,487.96,1018.89,0.852,921.58,1034.18,0.632,553.79,903.5,0.08,830.82,950.43,0.05,596.93,1162.35,0.999,784.47,1176.82,0.999,532.98,1336.86,0.908,836.83,1370.92,0.81,513.34,1650.1,0.827,834.34,1669.91,0.868,516.82,1711.13,0.862,822.34,1743.57,0.855,477.67,1644.44,0.569,859.18,1671.53,0.592,posterior,707.6653591375753,790.1014204238529,False,695.4443198093173,1090.1753349953349,669.0028252092984
